DateTime,month,TOU_period,TOU_price,lake_ontario_outflow,upstream_level,downstream_level,hydraulic_head,power_MW,energy_kWh,revenue_actual,optimized_flow,optimized_upstream_level,optimized_downstream_level,optimized_head,optimized_power_MW,optimized_energy_kWh,optimized_revenue,flow_diff,power_diff_MW,energy_diff_kWh,revenue_diff,revenue_improvement_pct,feasible
2024-05-05 20:00:00,5,Off-Peak,0.098,285000.0,73.3,46.894,26.406,73679.5606698,73679560.6698,7220596.9456404,252875.73269413944,73.10426786460246,46.81739240053385,26.29523513297569,65100.415649732946,65100415.64973295,6379840.733673829,-32124.267305860558,-8579.145020067059,-8579145.020067051,-840756.2119665714,-11.643860172450106,True
2024-05-05 21:00:00,5,Off-Peak,0.098,285000.0,73.3,46.896,26.404,73673.9801532,73673980.1532,7220050.055013601,252875.73269413944,73.10426786460246,46.81739240053385,26.29523513297569,65100.415649732946,65100415.64973295,6379840.733673829,-32124.267305860558,-8573.564503467052,-8573564.503467053,-840209.3213397721,-11.637167539528773,True
2024-05-05 22:00:00,5,Off-Peak,0.098,285000.0,73.31,46.896,26.414,73701.8827362,73701882.73619999,7222784.508147599,252875.73269413944,73.10426786460246,46.81739240053385,26.29523513297569,65100.415649732946,65100415.64973295,6379840.733673829,-32124.267305860558,-8601.467086467055,-8601467.086467043,-842943.7744737705,-11.67062056915716,True
2024-05-05 23:00:00,5,Off-Peak,0.098,285000.0,73.31,46.908,26.402,73668.3996366,73668399.6366,7219503.1643868,252875.73269413944,73.10426786460246,46.81739240053385,26.29523513297569,65100.415649732946,65100415.64973295,6379840.733673829,-32124.267305860558,-8567.98398686706,-8567983.986867055,-839662.4307129709,-11.630473892648942,True
2024-05-06 00:00:00,5,Off-Peak,0.098,285000.0,73.3,46.915,26.385,73620.9652455,73620965.2455,7214854.594059,252875.73269413944,73.10426786460246,46.81739240053385,26.29523513297569,65100.415649732946,65100415.64973295,6379840.733673829,-32124.267305860558,-8520.549595767057,-8520549.595767051,-835013.8603851711,-11.573536923013735,True
2024-05-06 01:00:00,5,Off-Peak,0.098,285000.0,73.3,46.907,26.393,73643.28731190001,73643287.3119,7217042.156566201,252875.73269413944,73.10426786460246,46.81739240053385,26.29523513297569,65100.415649732946,65100415.64973295,6379840.733673829,-32124.267305860558,-8542.871662167068,-8542871.662167057,-837201.4228923721,-11.600339927773188,True
2024-05-06 02:00:00,5,Off-Peak,0.098,285000.0,73.31,46.906,26.404000000000003,73673.98015320001,73673980.15320002,7220050.055013602,252875.73269413944,73.10426786460246,46.81739240053385,26.29523513297569,65100.415649732946,65100415.64973295,6379840.733673829,-32124.267305860558,-8573.564503467067,-8573564.503467068,-840209.321339773,-11.637167539528786,True
2024-05-06 03:00:00,5,Off-Peak,0.098,285000.0,73.31,46.909,26.401000000000003,73665.6093783,73665609.3783,7219229.7190734,252875.73269413944,73.10426786460246,46.81739240053385,26.29523513297569,65100.415649732946,65100415.64973295,6379840.733673829,-32124.267305860558,-8565.19372856705,-8565193.728567049,-839388.9853995712,-11.627126688902596,True
2024-05-06 04:00:00,5,Off-Peak,0.098,285000.0,73.31,46.907,26.40300000000001,73671.1898949,73671189.89490001,7219776.609700201,252875.73269413944,73.10426786460246,46.81739240053385,26.29523513297569,65100.415649732946,65100415.64973295,6379840.733673829,-32124.267305860558,-8570.774245167057,-8570774.245167062,-839935.8760263724,-11.63382084284808,True
2024-05-06 05:00:00,5,Off-Peak,0.098,285000.0,73.31,46.908,26.402,73668.3996366,73668399.6366,7219503.1643868,252875.73269413944,73.10426786460246,46.81739240053385,26.29523513297569,65100.415649732946,65100415.64973295,6379840.733673829,-32124.267305860558,-8567.98398686706,-8567983.986867055,-839662.4307129709,-11.630473892648942,True
